古拉格：一部历史, (美)安妮·阿普尔鲍姆, 新星出版社, 2013-4-1
地下室手记, [俄]陀思妥耶夫斯基, 漓江出版社, 2012-5
皮皮鲁和鲁西西全传, 郑渊洁, 四川少年儿童出版社, 1989
失明症漫记, (葡)若泽·萨拉马戈, 南海出版公司, 2014-2
来自新世界 （上下）, [日] 贵志祐介, 上海译文出版社, 2014-4
永恒的终结, [美] 艾萨克·阿西莫夫, 江苏文艺出版社, 2014-9-1
听音乐（插图第6版）, 罗杰·凯密恩（Roger Kamien）, 世界图书出版公司, 2008-6
人类的群星闪耀时（增订版）, [奥] 斯蒂芬·茨威格, 生活·读书·新知三联书店, 2009-6
美的历程, 李泽厚, 生活·读书·新知三联书店, 2009-1-1
众病之王, [美] 悉达多·穆克吉, 中信出版社, 2013-2-4
人类简史, [以色列] 尤瓦尔·赫拉利, 中信出版社, 2014-11
最好的告别, [美] 阿图·葛文德（Atul Gawande）, 浙江人民出版社, 2015-7-31
强风吹拂, 三浦紫苑, 广西师范大学出版社, 2015-1-1
火星救援, [美] 安迪·威尔, 译林出版社, 2015-10-1
文明之光（第一册）, 吴军, 人民邮电出版社, 2014-6-25
四書章句集注, （宋）朱熹, 中华书局, 1983-10
大盗贼, 奥得弗雷德·普鲁士勒, 二十一世纪出版社, 2004-10-01
霸王别姬, 李碧华, 人民文学出版社, 1999-1
重构, Martin Fowler, 中国电力出版社, 2003-8-1
易经,, 吉林文史出版社, 2006-8-1
编程珠玑, Jon Bentley, 人民邮电出版社, 2008-10
宋词三百首, 武玉成，顾丛龙 注, 人民文学出版社, 2004-08
战国策, 刘向 / 宋韬 （译注）, 山西古籍出版社, 2003-1-1
敏捷软件开发, Robert C. Martin, 清华大学出版社, 2003-09-01
牡丹亭, 汤显祖, 人民文学出版社, 1963-4-1
宋词鉴赏辞典, 夏承焘 / 等, 上海辞书出版社, 2003-8-1
长袜子皮皮, [瑞典] 阿斯特丽德·林格伦, 中国少年儿童出版社, 1999-3
老子注译及评介, 陈鼓应, 中华书局, 2009-2
中国古典园林分析, 彭一刚, 建筑工业出版社, 1986-12-1
外部空间设计, 芦原义信, 中国建筑工业出版社, 1985-3
四世同堂（上下）, 老舍, 人民文学出版社, 1999-06
莎士比亚全集（全8册）, [英] 莎士比亚, 译林出版社, 1998-5
津巴多普通心理学, [美] 菲利普·津巴多 / [美] 罗伯特·约翰逊 / [美] 安·韦伯, 中国人民大学出版社, 2008-7
Head First 设计模式（中文版）, 弗里曼, 中国电力出版社, 2007-9
天龙八部, 金庸, 生活.读书.新知三联书店, 1994-5
古文观止, 吴楚材 / 吴调侯, 中华书局, 1987-1-1
计算机程序的构造和解释, Harold Abelson / Gerald Jay Sussman / Julie Sussman, 机械工业出版社, 2004-2
期货市场技术分析, [美]约翰.墨菲, 地震出版社, 1994-5-1
聪明的投资者, 本杰明·格雷厄姆 / Benjamin Graham, 人民邮电出版社, 2010-8
穷查理宝典, [美]彼得·考夫曼 (编), 上海人民出版社, 2010-10-01
冬牧场, 李娟, 新星出版社, 2012-6
蓝熊船长的13条半命, [德] 瓦尔特·莫尔斯, 人民文学出版社, 2002-1
万物既伟大又渺小, [英] 吉米·哈利（James Herriot）, 中国城市出版社, 2010-05
阿城精选集, 阿城, 北京燕山出版社, 2011-3
金刚经 心经 坛经, 陈秋平 / 尚荣, 中华书局, 2007-12-1
经济学, (美)保罗﹒萨缪尔森 / （美）诺德豪斯, 人民邮电出版社, 2004-1
飞鸟集, 泰戈尔, 上海译文出版社, 1992
顾城的诗 顾城的画, 顾城, 江苏文艺出版社, 2009-1
